x_des,y_des,psi_des
-2.499999959766864954e+00,1.200000077486038208e+00,1.648911401592149994e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648911401592149994e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648911401592149994e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648911401592149994e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649035028321784280e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649151545749760084e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649111105574887270e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649023919879514910e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649039009419080992e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649132015784779970e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649132015784779970e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649132015784779970e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648922598882025525e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649102031426097792e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649102031426097792e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.649019520951358730e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648975246753942692e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648975246753942692e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648975246753942692e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648847473051317181e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648829847863748421e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648829847863748421e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648752862472751213e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648633883712696369e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648769751968370834e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648715518804367397e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648532789159463219e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648536726615037695e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648536726615037695e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648431639249999359e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648267953587778223e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648267953587778223e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648267953587778223e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.648183265950118548e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647928450519996035e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647875751875558681e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647775371816249779e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647682263071997166e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647667370371779683e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647643407166060392e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647524083253943061e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647396277589387781e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647350278380028010e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647350278380028010e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647258252090762598e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647163399446863297e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647163399446863297e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.647094815620577579e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646983846136955698e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646829836605976149e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646829836605976149e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646703083824516245e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646703083824516245e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646661003042791060e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646661003042791060e+00
-2.499999959766864954e+00,1.200000077486038208e+00,1.646598100996161884e+00
