x,y,yaw
3.285791635513305664e+00,-3.177978992462158203e-01,-6.031274530236743203e-01
3.285234928131103516e+00,-3.187824785709381104e-01,-5.808475080745032493e-01
3.284495592117309570e+00,-3.200760781764984131e-01,-5.507284631856217416e-01
3.284904718399047852e+00,-3.220150768756866455e-01,-5.221029468284807962e-01
3.293586254119873047e+00,-3.278700113296508789e-01,-5.042546777077880904e-01
3.317459106445312500e+00,-3.421203792095184326e-01,-4.844712045774701714e-01
3.343693017959594727e+00,-3.560077250003814697e-01,-4.775461049566320781e-01
3.368930339813232422e+00,-3.693702518939971924e-01,-4.759329603364879091e-01
3.389926671981811523e+00,-3.800485134124755859e-01,-4.778514197320777868e-01
3.407567024230957031e+00,-3.888104259967803955e-01,-4.734995517175408786e-01
3.421021223068237305e+00,-3.954265415668487549e-01,-4.725462725609368420e-01
3.439689874649047852e+00,-4.051371514797210693e-01,-4.794926641778269882e-01
3.452183485031127930e+00,-4.111842811107635498e-01,-4.767003314369766542e-01
3.463079214096069336e+00,-4.169418215751647949e-01,-4.823963655972862696e-01
3.472740888595581055e+00,-4.214589595794677734e-01,-4.798427115349239713e-01
3.481994628906250000e+00,-4.261149764060974121e-01,-4.864004415474809662e-01
3.489478111267089844e+00,-4.299516975879669189e-01,-4.902342900612359777e-01
3.496273994445800781e+00,-4.337261021137237549e-01,-4.929351509505819351e-01
3.501493215560913086e+00,-4.352467954158782959e-01,-5.020308129042456713e-01
3.508203268051147461e+00,-4.343563914299011230e-01,-5.799806437428713934e-01
3.512078523635864258e+00,-4.305783212184906006e-01,-6.964491465639732759e-01
3.518229484558105469e+00,-4.231073856353759766e-01,-8.878230089914622702e-01
3.523963212966918945e+00,-4.186096787452697754e-01,-1.038532346075733415e+00
3.529673099517822266e+00,-4.150865674018859863e-01,-1.172368845612139054e+00
3.533483266830444336e+00,-4.138563573360443115e-01,-1.253263814977100044e+00
3.538434743881225586e+00,-4.125250279903411865e-01,-1.363090901558744239e+00
3.541083812713623047e+00,-4.116401076316833496e-01,-1.417270369419951770e+00
3.543571710586547852e+00,-4.113834798336029053e-01,-1.464397264361283035e+00
3.544320106506347656e+00,-4.108855128288269043e-01,-1.483011373492352458e+00
3.545655965805053711e+00,-4.109134078025817871e-01,-1.507383576489368826e+00
3.547302484512329102e+00,-4.139246046543121338e-01,-1.539581193965625205e+00
3.548645257949829102e+00,-4.277187287807464600e-01,-1.559512246143976100e+00
3.549288272857666016e+00,-4.496359229087829590e-01,-1.575896220898722833e+00
3.549212932586669922e+00,-4.842827618122100830e-01,-1.576328942708770331e+00
3.549039363861083984e+00,-5.113562941551208496e-01,-1.575375125214319549e+00
3.548743963241577148e+00,-5.372298955917358398e-01,-1.573840238896381249e+00
3.548897504806518555e+00,-5.582827329635620117e-01,-1.574903094924324343e+00
3.548556804656982422e+00,-5.745422840118408203e-01,-1.569561272645200845e+00
3.548754692077636719e+00,-5.928601622581481934e-01,-1.567751332154448063e+00
3.548477649688720703e+00,-6.070392727851867676e-01,-1.567292349639344939e+00
3.548536300659179688e+00,-6.176044940948486328e-01,-1.566913926728713546e+00
3.548790454864501953e+00,-6.298977136611938477e-01,-1.567597850370583856e+00
3.548927307128906250e+00,-6.401436924934387207e-01,-1.568209917546350418e+00
3.548803329467773438e+00,-6.487331986427307129e-01,-1.567900886986127951e+00
3.549102306365966797e+00,-6.545644402503967285e-01,-1.567474234120599386e+00
3.549514770507812500e+00,-6.597670912742614746e-01,-1.574471131594854967e+00
3.551792860031127930e+00,-6.602045893669128418e-01,-1.622147889922000097e+00
3.554037094116210938e+00,-6.605890393257141113e-01,-1.667971960070410820e+00
3.555999755859375000e+00,-6.611150503158569336e-01,-1.706751129819598090e+00
3.557376623153686523e+00,-6.616467237472534180e-01,-1.736257275538701572e+00
3.558761358261108398e+00,-6.614828109741210938e-01,-1.765028938140972281e+00
3.560201644897460938e+00,-6.621093750000000000e-01,-1.792528899163619238e+00
3.559847354888916016e+00,-6.690405011177062988e-01,-1.824903851817366141e+00
3.556607961654663086e+00,-6.850242614746093750e-01,-1.841545251340549694e+00
3.551485776901245117e+00,-7.044024467468261719e-01,-1.851694519500503011e+00
3.541822671890258789e+00,-7.368426322937011719e-01,-1.854282178109286638e+00
3.533842325210571289e+00,-7.613517642021179199e-01,-1.851060166154798292e+00
3.527054071426391602e+00,-7.848581671714782715e-01,-1.848911300260071000e+00
3.521128416061401367e+00,-8.042010664939880371e-01,-1.847352736696566522e+00
3.516454458236694336e+00,-8.192014694213867188e-01,-1.844817162016900713e+00
3.511733293533325195e+00,-8.346352577209472656e-01,-1.844295554883834232e+00
3.507691144943237305e+00,-8.486090302467346191e-01,-1.842742123738706717e+00
3.503952503204345703e+00,-8.606445789337158203e-01,-1.838476116899730783e+00
3.500279426574707031e+00,-8.725069761276245117e-01,-1.835488517573613532e+00
3.497786045074462891e+00,-8.818776011466979980e-01,-1.834227430458276409e+00
